name,fat,carbs,protein
alfalfa seeds,0,3.03030303,3.03030303
all-bran cereal,3.527336861,74.07407407,14.10934744
almonds,52.91005291,21.16402116,21.16402116
angel food cake,0.31496063,53.85826772,5.984251969
apple juice,0,11.69354839,0
apple pie,11.11111111,38.0952381,2.222222222
apples,0.471698113,15.09433962,0
apricots,0,11.32075472,0.943396226
artichokes,0,10,2.5
asparagus,0.555555556,4.444444444,2.777777778
avocado,17.34104046,6.936416185,2.312138728
bacon,47.36842105,0,31.57894737
bagels,2.941176471,55.88235294,10.29411765
baked potatoes,0,25.24752475,2.475247525
baking powder,0,33.33333333,0
baking powder biscuits,17.85714286,46.42857143,7.142857143
bamboo shoots,0.763358779,3.053435115,1.526717557
bananas,0.666666667,23.33333333,1.333333333
barbecue sauce,0,12.5,0
barley,1,79,8
bean sprouts,0,5.769230769,2.884615385
beef and vegetable stew,4.489795918,6.12244898,6.530612245
beef gravy,2.145922747,4.721030043,3.862660944
beef heart,5.882352941,0,28.23529412
beef liver,8.235294118,8.235294118,27.05882353
beef potpie,14.28571429,18.57142857,10
beef steak,17.64705882,0,27.05882353
beets,0,6.470588235,1.176470588
black beans,0.584795322,23.97660819,8.771929825
black pepper,0,47.61904762,0
black walnuts,56.8,12,24
blackberries,0.694444444,12.5,0.694444444
black-eyed peas,0.606060606,18.18181818,7.878787879
blue cheese,28.21869489,3.527336861,21.16402116
blue cheese salad dressing,53.33333333,6.666666667,6.666666667
blueberries,0.689655172,13.79310345,0.689655172
blueberry muffins,11.11111111,44.44444444,6.666666667
boiled potatoes,0,19.85294118,2.205882353
boston brown bread,2.222222222,46.66666667,4.444444444
bottom round beef,15.29411765,0,29.41176471
bouillon,16.66666667,16.66666667,16.66666667
braised pork shoulder,25.88235294,0,27.05882353
bran flakes,3.527336861,77.60141093,14.10934744
bran muffins,13.33333333,42.22222222,6.666666667
brazil nuts,67.01940035,14.10934744,14.10934744
bread stuffing,22.14285714,35.71428571,6.428571429
breadcrumbs,5,73,13
broccoli,0.662251656,5.298013245,2.649006623
broiled ground beef,21.17647059,0,23.52941176
brown gravy,0.766283525,5.363984674,1.149425287
brown sugar,0,96.36363636,0
brownies,30,55,5
brussels sprouts,0.64516129,8.387096774,2.580645161
buckwheat flour,1.020408163,79.59183673,6.12244898
bulgur,1.764705882,75.88235294,11.17647059
butter,81.4159292,0,0.884955752
cabbage,0,5.714285714,1.428571429
camembert cheese,23.68421053,0,21.05263158
candy,0,98.7654321,0
canned corn,0.390625,17.96875,1.5625
canned salmon,5.882352941,0,20
canned sardines,10.58823529,0,23.52941176
canned tuna,8.235294118,0,28.23529412
cantaloup,0.374531835,8.239700375,0.74906367
caramels,10.58201058,77.60141093,3.527336861
carob flour,0,90,4.285714286
carrot cake,21.875,50,4.166666667
carrots,0,10,0.909090909
cashew nuts,49.38271605,28.21869489,17.6366843
catsup,0.366300366,25.27472527,1.831501832
cauliflower,0,5,2
celery,0,3.333333333,0.833333333
celery seed,50,50,0
cheddar cheese,31.74603175,0,24.69135802
cheerios cereal,7.054673721,70.54673721,14.10934744
cheese crackers,30,60,10
cheese pizza,7.5,32.5,12.5
cheese sauce,6.093189964,8.243727599,5.734767025
cheeseburger,13.39285714,25,13.39285714
cheesecake,19.56521739,28.26086957,5.434782609
cherry pie,11.39240506,38.60759494,2.53164557
